slide_id,state,district,slide_name,road_location,latitude,longitude,material,movement_type,history,name,highway,ref,maxspeed,lanes,surface,smoothness,length,distance_to_road_m,road_match_status,target,elevation,slope,temperature_avg,temperature_max,temperature_min,rainfall_avg,rainfall_max,humidity_avg,nearby_landslide_count,landslide_density
MAN/TAM/83G12/2017/0029,Manipur,Tamenglong,,Govajang road,25.159028000000003,93.699833,Debris,Slide,,,primary,,,,,,6993.0,0.9143900241978478,MATCHED,1,911.2735595703124,32.55441494540485,22.23690693430657,32.9,10.9,3.649178695868592,101.1,79.76685082872928,106,0.3374084793548181
MZ/CHA/84E06/2017/26,Mizoram,Champhai,,3km Jhum road W of N.,23.555929000000003,93.295668,Debris,Slide,,,unclassified,,,,,,3874.0,7.137294368526244,MATCHED,1,1533.1435546875,29.36533263134152,24.334384121424403,31.7,13.7,4.743912408759124,99.5,79.61500291885581,39,0.12414085561167836
,,,,,26.102271240633,92.28595647110016,,,,,residential,,,,,,174.0,0.0,NEGATIVE_SAMPLE,0,63.67184448242188,1.7664999393539855,20.820361303393558,33.9,6.2,6.685198300283286,245.1,79.46736842105263,7,0.022281692032865348
,,,,,24.975823519338523,93.8722235524745,,,,,residential,,,,,,767.0,0.0,NEGATIVE_SAMPLE,0,900.7810668945312,1.207618041006787,22.23690693430657,32.9,10.9,3.649178695868592,101.1,79.76685082872928,2,0.006366197723675813
AP/LDV/82P15/2022/18,Arunachal Pradesh,Lower Dibang Valley,500 m south from landslide no. 44,Newly connstructing Roing-,28.252507,95.781741,Debris,Slide,,,trunk,NH313,,,,,46659.0,3398.780571506084,MATCHED,1,755.2220458984375,39.01492408634535,,,,,,,64,0.20371832715762603
AR/WKG/83A12/2021/004,Arunachal Pradesh,West Kameng,East of Sessa Slide 2,NH 13/ E of Sessa,27.105083,92.555222,Debris,Slide,,Doimara-Nichiphu,primary,,,,,,23320.0,8.553348339328712,MATCHED,1,876.6467895507812,40.96867591392419,24.945631552671,33.3,14.6,6.053046953046953,174.0,80.043718871057,30,0.0954929658551372
MZ/SER/84F01/2018/2,Mizoram,Lunglei,,,23.068354000000006,93.002747,Rock,Slide,,,unclassified,,,,unpaved,,289.0,774.0646304694541,MATCHED,1,965.3636474609376,42.56001547136098,,,,,,,15,0.0477464829275686
,,,,,22.691931270637525,93.05918861824084,,,,,residential,,,,,,302.0,0.0,NEGATIVE_SAMPLE,0,1338.5992431640625,23.67760561071507,,,,,,,2,0.006366197723675813
,,,,,26.913392902157234,92.73449291559746,,,,,residential,,,,,,143.0,0.0,NEGATIVE_SAMPLE,0,107.95835876464844,2.754896626009278,24.945631552671,33.3,14.6,6.053046953046953,174.0,80.043718871057,14,0.044563384065730696
,,,,,25.20090521072271,92.14844940000644,,,,,tertiary,,,,,,5413.0,0.0,NEGATIVE_SAMPLE,0,616.6704711914062,8.012539226871674,21.554437420986098,33.4,6.0,13.93519595448799,410.0,80.95847176079734,50,0.15915494309189535
,,,,,26.17224555001541,91.78387904983953,,,,,residential,,,,,,96.0,0.0,NEGATIVE_SAMPLE,0,55.93716430664063,2.227172470383836,20.820361303393558,33.9,6.2,6.685198300283286,245.1,79.46736842105263,67,0.21326762374313976
,,,,,25.31301536316576,91.8967195947894,,,,,residential,,,,,,87.0,0.0,NEGATIVE_SAMPLE,0,1371.3609619140625,8.081087511501421,21.554437420986098,33.4,6.0,13.93519595448799,410.0,80.95847176079734,87,0.2769296009798979
