timestamp,corridor_id,corridor_name,curr_precip_mm,forecast_rain_6h_sum_mm,forecast_rain_max_intensity_mm,forecast_precip_prob_max,wind_speed_kmh,wind_gust_kmh,visibility_km,severe_weather_flag,antecedent_rain_24h_mm,antecedent_rain_72h_mm,elevation_m,slope_angle_deg,terrain_type,road_class,historical_vulnerability_score,is_monsoon_season,month_of_year,hour_of_day,active_incidents_nearby_15km,disruption_within_6h
2025-01-01T01:00:00+00:00,NH-29,Dimapur-Kohima Corridor,0.0,0.0,0.0,18.1,11.9,18.5,11.7,0,5.3,25.5,1386.7,40.4,Steep Ghat,national_highway,0.919,0,1,1,1,0
2025-01-01T02:00:00+00:00,SH-4,Haflong Hill Cut Route,0.0,4.7,2.0,63.2,15.9,25.1,11.9,0,10.5,57.7,899.0,29.8,Steep Ghat,state_highway,0.737,0,1,2,0,0
2025-01-01T09:00:00+00:00,NH-10,Siliguri-Gangtok Highway,0.0,0.0,0.0,22.4,30.8,51.0,10.2,0,6.5,41.2,1652.3,47.6,High Mountain Ridge,national_highway,0.919,0,1,9,2,0
2025-01-01T09:00:00+00:00,SH-4,Haflong Hill Cut Route,0.0,0.0,0.0,18.8,9.6,12.5,13.0,0,15.1,57.5,855.7,30.0,Steep Ghat,state_highway,0.719,0,1,9,0,0
2025-01-01T10:00:00+00:00,NH-2,Guwahati-Shillong-Imphal,0.0,0.0,0.0,5.7,13.0,18.6,11.0,0,6.4,37.4,1450.2,35.8,Steep Ghat,national_highway,0.774,0,1,10,1,0
2025-01-01T11:00:00+00:00,SH-4,Haflong Hill Cut Route,0.0,0.0,0.0,13.6,13.1,17.3,10.2,0,7.2,32.7,914.0,32.0,Steep Ghat,state_highway,0.796,0,1,11,0,0
2025-01-01T11:00:00+00:00,NH-29,Dimapur-Kohima Corridor,0.0,0.0,0.0,19.8,12.3,16.2,14.5,0,11.0,41.7,1425.4,34.0,Steep Ghat,national_highway,0.891,0,1,11,1,0
2025-01-01T12:00:00+00:00,NH-6,Shillong-Jowai-Silchar,0.0,0.0,0.0,24.7,7.7,10.3,12.1,0,7.5,22.7,1379.3,35.6,Steep Ghat,national_highway,0.857,0,1,12,1,0
2025-01-01T13:00:00+00:00,NH-37,Kaziranga Flood Bypass,0.0,0.0,0.0,5.9,12.7,17.9,11.1,0,2.1,16.5,40.0,4.3,Plain,national_highway,0.526,0,1,13,0,0
2025-01-01T16:00:00+00:00,NH-6,Shillong-Jowai-Silchar,0.0,0.0,0.0,9.1,13.9,21.5,14.2,0,2.2,8.3,1317.0,30.4,Steep Ghat,national_highway,0.807,0,1,16,1,0
2025-01-01T16:00:00+00:00,NH-10,Siliguri-Gangtok Highway,0.0,0.0,0.0,6.5,9.0,15.8,12.5,0,0.3,10.8,1732.6,41.0,High Mountain Ridge,national_highway,0.919,0,1,16,2,0
2025-01-01T18:00:00+00:00,NH-6,Shillong-Jowai-Silchar,0.0,0.0,0.0,11.9,7.8,11.8,10.7,0,0.8,6.9,1420.2,39.0,Steep Ghat,national_highway,0.827,0,1,18,0,0
2025-01-01T21:00:00+00:00,NH-27,Guwahati-Nagaon-Lumding,0.0,4.0,2.3,63.0,5.7,8.2,12.5,0,3.4,36.1,65.3,1.6,Plain,national_highway,0.415,0,1,21,0,0
2025-01-02T00:00:00+00:00,NH-37,Kaziranga Flood Bypass,0.0,0.0,0.0,15.2,11.4,16.7,12.8,0,21.5,81.3,154.7,2.3,Plain,national_highway,0.48,0,1,0,0,0
2025-01-02T01:00:00+00:00,NH-2,Guwahati-Shillong-Imphal,0.1,8.3,4.5,54.9,6.6,9.3,11.9,0,5.7,21.1,1449.6,28.1,Steep Ghat,national_highway,0.71,0,1,1,1,0
2025-01-02T04:00:00+00:00,NH-37,Kaziranga Flood Bypass,0.0,0.0,0.0,8.7,2.0,5.0,9.7,0,1.9,13.4,40.0,1.3,Plain,national_highway,0.425,0,1,4,0,0
2025-01-02T08:00:00+00:00,NH-27,Guwahati-Nagaon-Lumding,0.0,0.0,0.0,22.5,9.5,14.6,12.4,0,7.2,40.3,136.1,2.6,Plain,national_highway,0.337,0,1,8,0,0
2025-01-02T12:00:00+00:00,SH-12,Mawkyrwat-Nongstoin Link,0.0,0.0,0.0,7.1,2.0,5.0,11.8,0,2.5,22.4,886.0,27.5,Foothill,state_highway,0.565,0,1,12,0,0
2025-01-02T13:00:00+00:00,NH-6,Shillong-Jowai-Silchar,0.0,0.0,0.0,16.9,9.7,14.5,14.6,0,11.1,56.8,1360.0,33.9,Steep Ghat,national_highway,0.868,0,1,13,4,0
2025-01-02T15:00:00+00:00,NH-37,Kaziranga Flood Bypass,0.0,0.0,0.0,11.4,19.6,25.8,14.8,0,2.4,26.0,40.0,1.1,Plain,national_highway,0.511,0,1,15,0,0
2025-01-02T16:00:00+00:00,SH-4,Haflong Hill Cut Route,0.0,0.0,0.0,22.0,17.2,28.7,14.8,0,4.7,12.3,810.0,29.7,Steep Ghat,state_highway,0.827,0,1,16,1,0
2025-01-02T21:00:00+00:00,NH-2,Guwahati-Shillong-Imphal,0.0,0.0,0.0,10.6,2.0,5.0,9.6,0,4.4,16.7,1460.0,26.0,Steep Ghat,national_highway,0.687,0,1,21,0,0
2025-01-03T00:00:00+00:00,RD-NER-01,Tawang Border Access,5.8,34.7,19.2,93.0,12.6,17.2,6.3,0,5.2,17.1,2816.9,33.7,High Mountain Ridge,arterial,0.563,0,1,0,0,0
2025-01-03T03:00:00+00:00,NH-10,Siliguri-Gangtok Highway,0.0,0.0,0.0,11.4,17.6,23.4,12.4,0,8.9,24.9,1594.9,35.2,High Mountain Ridge,national_highway,0.92,0,1,3,1,0
2025-01-03T05:00:00+00:00,NH-10,Siliguri-Gangtok Highway,0.0,0.0,0.0,7.1,13.5,22.9,13.3,0,20.1,61.1,1740.5,41.1,High Mountain Ridge,national_highway,0.961,0,1,5,2,1
2025-01-03T07:00:00+00:00,NH-10,Siliguri-Gangtok Highway,0.0,0.0,0.0,22.5,22.6,39.3,13.5,0,7.0,32.0,1545.5,40.0,High Mountain Ridge,national_highway,0.9,0,1,7,0,0
2025-01-03T07:00:00+00:00,NH-37,Kaziranga Flood Bypass,0.0,0.0,0.0,7.1,15.8,21.4,6.5,0,7.8,26.2,71.5,6.0,Plain,national_highway,0.589,0,1,7,0,0
2025-01-03T08:00:00+00:00,NH-6,Shillong-Jowai-Silchar,0.0,0.0,0.0,17.6,16.0,27.3,10.6,0,1.2,25.6,1387.8,29.7,Steep Ghat,national_highway,0.844,0,1,8,1,0
2025-01-03T10:00:00+00:00,NH-37,Kaziranga Flood Bypass,0.0,0.0,0.0,15.2,13.6,24.2,12.0,0,8.6,45.4,78.2,2.3,Plain,national_highway,0.463,0,1,10,1,0
2025-01-03T12:00:00+00:00,NH-29,Dimapur-Kohima Corridor,0.0,0.0,0.0,20.4,2.0,5.0,12.0,0,4.8,16.5,1444.0,30.4,Steep Ghat,national_highway,0.921,0,1,12,1,0
2025-01-03T12:00:00+00:00,SH-4,Haflong Hill Cut Route,0.0,0.0,0.0,18.9,16.2,23.4,13.8,0,3.6,30.3,697.5,30.9,Steep Ghat,state_highway,0.869,0,1,12,0,0
2025-01-03T12:00:00+00:00,RD-NER-01,Tawang Border Access,0.0,0.0,0.0,18.2,13.5,20.7,12.2,0,6.3,32.4,2761.3,37.2,High Mountain Ridge,arterial,0.698,0,1,12,1,0
2025-01-03T17:00:00+00:00,RD-NER-01,Tawang Border Access,0.0,0.0,0.0,13.3,16.3,26.2,10.3,0,1.5,8.0,2807.6,41.1,High Mountain Ridge,arterial,0.738,0,1,17,0,0
2025-01-03T18:00:00+00:00,SH-4,Haflong Hill Cut Route,0.0,0.0,0.0,18.1,8.9,15.9,11.0,0,9.8,40.6,935.2,30.7,Steep Ghat,state_highway,0.779,0,1,18,1,0
2025-01-03T18:00:00+00:00,NH-27,Guwahati-Nagaon-Lumding,0.0,0.0,0.0,12.6,12.9,19.9,12.5,0,9.4,31.2,45.9,2.6,Plain,national_highway,0.33,0,1,18,0,0
2025-01-03T19:00:00+00:00,RD-NER-02,Aizawl-Lunglei Ridge Pass,0.0,0.0,0.0,14.1,10.7,15.3,10.2,0,4.1,29.4,1140.4,25.1,Steep Ghat,arterial,0.706,0,1,19,0,0
2025-01-03T19:00:00+00:00,NH-29,Dimapur-Kohima Corridor,0.0,0.0,0.0,8.0,8.4,11.2,12.0,0,6.8,22.0,1436.3,41.8,Steep Ghat,national_highway,0.811,0,1,19,2,0
2025-01-03T23:00:00+00:00,NH-2,Guwahati-Shillong-Imphal,0.0,0.0,0.0,8.4,23.9,41.5,13.5,0,8.2,17.8,1389.5,30.3,Steep Ghat,national_highway,0.698,0,1,23,0,0
2025-01-04T01:00:00+00:00,RD-NER-01,Tawang Border Access,0.0,0.0,0.0,24.4,15.6,27.0,12.1,0,4.5,38.0,2801.1,36.4,High Mountain Ridge,arterial,0.729,0,1,1,0,0
2025-01-04T02:00:00+00:00,NH-10,Siliguri-Gangtok Highway,5.7,27.2,7.2,84.9,17.2,27.9,15.0,0,9.2,35.5,1644.7,42.7,High Mountain Ridge,national_highway,0.903,0,1,2,1,1
2025-01-04T04:00:00+00:00,NH-37,Kaziranga Flood Bypass,0.0,0.0,0.0,21.4,9.9,17.2,10.2,0,3.2,7.7,40.0,5.8,Plain,national_highway,0.515,0,1,4,0,0
2025-01-04T05:00:00+00:00,NH-27,Guwahati-Nagaon-Lumding,0.0,0.0,0.0,6.2,15.6,20.7,11.7,0,6.4,27.0,100.2,2.9,Plain,national_highway,0.377,0,1,5,0,0
2025-01-04T06:00:00+00:00,RD-NER-02,Aizawl-Lunglei Ridge Pass,0.0,0.0,0.0,11.9,6.9,10.5,11.0,0,2.1,33.8,1257.8,38.4,Steep Ghat,arterial,0.584,0,1,6,0,0
2025-01-04T08:00:00+00:00,SH-4,Haflong Hill Cut Route,0.0,0.0,0.0,8.0,2.0,5.0,9.0,0,1.7,7.4,858.7,27.4,Steep Ghat,state_highway,0.734,0,1,8,0,0
2025-01-04T09:00:00+00:00,SH-12,Mawkyrwat-Nongstoin Link,0.0,0.0,0.0,13.9,19.9,26.4,15.0,0,1.9,14.6,838.3,22.6,Foothill,state_highway,0.658,0,1,9,0,0
2025-01-04T10:00:00+00:00,NH-2,Guwahati-Shillong-Imphal,0.0,4.6,1.4,56.7,5.3,7.8,14.5,0,15.7,41.8,1406.4,33.8,Steep Ghat,national_highway,0.731,0,1,10,0,0
2025-01-04T14:00:00+00:00,RD-NER-02,Aizawl-Lunglei Ridge Pass,0.0,0.0,0.0,13.9,13.1,20.3,7.6,0,2.9,24.1,1224.0,38.3,Steep Ghat,arterial,0.616,0,1,14,0,0
2025-01-04T17:00:00+00:00,NH-10,Siliguri-Gangtok Highway,0.0,0.0,0.0,22.3,6.8,12.2,11.5,0,20.7,61.4,1638.0,33.2,High Mountain Ridge,national_highway,0.939,0,1,17,2,0
2025-01-04T21:00:00+00:00,RD-NER-02,Aizawl-Lunglei Ridge Pass,0.0,0.0,0.0,16.5,12.4,19.5,8.1,0,9.5,41.9,1091.4,41.0,Steep Ghat,arterial,0.699,0,1,21,1,0
2025-01-05T01:00:00+00:00,RD-NER-01,Tawang Border Access,0.0,0.0,0.0,12.6,7.8,10.5,15.0,0,2.4,30.9,2837.7,46.1,High Mountain Ridge,arterial,0.739,0,1,1,0,0
2025-01-05T08:00:00+00:00,NH-37,Kaziranga Flood Bypass,0.0,0.0,0.0,10.8,12.1,18.3,15.0,0,4.1,32.9,40.0,4.6,Plain,national_highway,0.523,0,1,8,0,0
2025-01-05T08:00:00+00:00,SH-4,Haflong Hill Cut Route,0.0,0.0,0.0,15.4,15.8,25.3,15.0,0,1.8,9.3,851.8,27.2,Steep Ghat,state_highway,0.858,0,1,8,1,0
2025-01-05T09:00:00+00:00,RD-NER-02,Aizawl-Lunglei Ridge Pass,0.0,0.0,0.0,21.9,10.1,15.0,14.7,0,3.7,9.1,1093.4,29.9,Steep Ghat,arterial,0.675,0,1,9,0,0
2025-01-05T09:00:00+00:00,NH-2,Guwahati-Shillong-Imphal,0.0,0.0,0.0,22.6,3.1,5.0,11.1,0,1.5,16.9,1429.1,33.0,Steep Ghat,national_highway,0.722,0,1,9,1,0
2025-01-05T09:00:00+00:00,RD-NER-02,Aizawl-Lunglei Ridge Pass,0.0,0.0,0.0,6.2,20.0,26.9,14.8,0,11.0,32.9,1148.5,34.7,Steep Ghat,arterial,0.663,0,1,9,0,0
2025-01-05T11:00:00+00:00,SH-12,Mawkyrwat-Nongstoin Link,3.2,16.8,10.6,87.1,16.1,26.0,12.7,0,1.7,15.4,945.0,23.3,Foothill,state_highway,0.639,0,1,11,0,0
2025-01-05T12:00:00+00:00,NH-27,Guwahati-Nagaon-Lumding,0.0,0.0,0.0,16.0,12.7,18.3,12.7,0,3.9,36.8,93.7,4.6,Plain,national_highway,0.31,0,1,12,1,0
2025-01-05T16:00:00+00:00,RD-NER-01,Tawang Border Access,2.7,22.5,5.6,67.0,19.9,30.2,12.6,0,21.2,82.3,2810.1,43.5,High Mountain Ridge,arterial,0.672,0,1,16,1,1
2025-01-05T21:00:00+00:00,NH-37,Kaziranga Flood Bypass,0.0,0.0,0.0,9.1,13.3,23.6,11.0,0,13.3,64.5,40.0,1.0,Plain,national_highway,0.51,0,1,21,1,0
2025-01-05T21:00:00+00:00,NH-10,Siliguri-Gangtok Highway,0.0,0.0,0.0,16.8,15.2,20.0,8.0,0,4.9,32.5,1734.3,39.1,High Mountain Ridge,national_highway,0.954,0,1,21,1,0
2025-01-05T22:00:00+00:00,SH-4,Haflong Hill Cut Route,0.3,4.4,1.6,41.1,9.2,15.7,12.5,0,6.8,15.2,842.2,25.2,Steep Ghat,state_highway,0.799,0,1,22,1,0
2025-01-06T00:00:00+00:00,SH-4,Haflong Hill Cut Route,0.0,0.0,0.0,11.3,12.9,21.5,10.5,0,3.3,14.1,782.5,29.9,Steep Ghat,state_highway,0.813,0,1,0,0,0
2025-01-06T02:00:00+00:00,NH-27,Guwahati-Nagaon-Lumding,0.0,0.0,0.0,17.6,20.1,33.2,15.0,0,3.2,19.8,40.0,8.6,Plain,national_highway,0.226,0,1,2,0,0
2025-01-06T05:00:00+00:00,NH-6,Shillong-Jowai-Silchar,0.0,0.0,0.0,7.0,14.6,24.1,12.5,0,7.2,23.5,1383.8,31.8,Steep Ghat,national_highway,0.93,0,1,5,0,0
2025-01-06T06:00:00+00:00,NH-6,Shillong-Jowai-Silchar,0.0,11.0,2.8,71.1,10.4,17.2,13.5,0,0.2,21.5,1333.7,32.5,Steep Ghat,national_highway,0.889,0,1,6,3,0
2025-01-06T06:00:00+00:00,NH-10,Siliguri-Gangtok Highway,0.0,0.0,0.0,10.9,17.8,29.0,10.7,0,4.9,18.1,1678.6,37.0,High Mountain Ridge,national_highway,0.956,0,1,6,0,0
2025-01-06T12:00:00+00:00,RD-NER-02,Aizawl-Lunglei Ridge Pass,0.0,0.0,0.0,12.0,4.2,7.0,13.3,0,11.6,46.0,1152.4,30.5,Steep Ghat,arterial,0.682,0,1,12,0,0
2025-01-06T16:00:00+00:00,SH-12,Mawkyrwat-Nongstoin Link,0.0,0.0,0.0,11.7,18.9,26.4,11.7,0,2.4,32.8,1146.9,23.9,Foothill,state_highway,0.637,0,1,16,0,0
2025-01-06T18:00:00+00:00,SH-4,Haflong Hill Cut Route,2.4,23.1,7.4,84.5,14.2,18.6,12.2,0,5.7,12.7,787.0,32.8,Steep Ghat,state_highway,0.87,0,1,18,1,0
2025-01-06T21:00:00+00:00,RD-NER-02,Aizawl-Lunglei Ridge Pass,0.0,0.0,0.0,16.0,13.0,18.9,10.4,0,4.8,23.8,1202.9,38.1,Steep Ghat,arterial,0.706,0,1,21,0,0
2025-01-06T23:00:00+00:00,SH-4,Haflong Hill Cut Route,0.0,0.0,0.0,18.4,10.2,14.3,13.0,0,3.0,36.2,795.5,26.5,Steep Ghat,state_highway,0.821,0,1,23,3,0
2025-01-07T01:00:00+00:00,SH-4,Haflong Hill Cut Route,0.0,0.0,0.0,24.5,4.2,6.6,11.2,0,0.3,27.0,891.5,32.4,Steep Ghat,state_highway,0.84,0,1,1,1,0
2025-01-07T01:00:00+00:00,RD-NER-02,Aizawl-Lunglei Ridge Pass,0.0,0.0,0.0,20.3,14.3,20.7,10.2,0,3.0,12.2,1221.2,36.0,Steep Ghat,arterial,0.664,0,1,1,1,0
2025-01-07T01:00:00+00:00,NH-27,Guwahati-Nagaon-Lumding,0.0,0.0,0.0,12.3,7.6,10.5,14.1,0,2.2,9.8,57.8,9.8,Plain,national_highway,0.312,0,1,1,0,0
2025-01-07T04:00:00+00:00,NH-6,Shillong-Jowai-Silchar,0.0,0.0,0.0,13.0,16.9,24.5,13.9,0,4.8,38.5,1343.5,31.7,Steep Ghat,national_highway,0.825,0,1,4,2,0
2025-01-07T04:00:00+00:00,NH-29,Dimapur-Kohima Corridor,0.0,0.0,0.0,12.8,13.1,22.9,13.6,0,1.5,17.5,1392.2,29.0,Steep Ghat,national_highway,0.879,0,1,4,0,0
2025-01-07T07:00:00+00:00,NH-2,Guwahati-Shillong-Imphal,0.0,0.0,0.0,12.3,10.3,15.5,10.6,0,10.1,33.5,1412.8,31.0,Steep Ghat,national_highway,0.741,0,1,7,0,0
2025-01-07T08:00:00+00:00,NH-27,Guwahati-Nagaon-Lumding,0.0,0.0,0.0,14.8,7.5,12.5,11.7,0,0.9,23.0,155.5,13.8,Plain,national_highway,0.338,0,1,8,0,0
2025-01-07T09:00:00+00:00,RD-NER-01,Tawang Border Access,0.0,0.0,0.0,6.9,7.8,13.2,12.5,0,3.5,26.9,2790.1,38.2,High Mountain Ridge,arterial,0.642,0,1,9,0,0
2025-01-07T09:00:00+00:00,SH-12,Mawkyrwat-Nongstoin Link,0.0,0.0,0.0,9.6,10.2,18.3,13.4,0,18.2,75.1,972.0,23.7,Foothill,state_highway,0.611,0,1,9,0,0
2025-01-07T10:00:00+00:00,SH-12,Mawkyrwat-Nongstoin Link,0.0,0.0,0.0,14.0,15.7,22.7,12.9,0,2.1,26.1,973.4,14.2,Foothill,state_highway,0.637,0,1,10,0,0
2025-01-07T11:00:00+00:00,NH-2,Guwahati-Shillong-Imphal,6.6,24.9,9.9,79.3,18.6,26.0,12.3,0,14.2,34.4,1494.6,38.4,Steep Ghat,national_highway,0.727,0,1,11,1,1
2025-01-07T12:00:00+00:00,SH-12,Mawkyrwat-Nongstoin Link,1.8,12.8,6.3,65.3,9.2,12.7,12.5,0,3.1,10.8,927.4,15.4,Foothill,state_highway,0.584,0,1,12,1,0
2025-01-07T14:00:00+00:00,RD-NER-02,Aizawl-Lunglei Ridge Pass,0.0,0.0,0.0,9.7,14.4,19.6,8.2,0,5.3,37.7,1188.4,24.6,Steep Ghat,arterial,0.688,0,1,14,0,0
2025-01-07T15:00:00+00:00,SH-12,Mawkyrwat-Nongstoin Link,0.0,0.0,0.0,12.7,18.7,28.6,12.0,0,8.0,49.1,1015.1,22.3,Foothill,state_highway,0.609,0,1,15,0,0
2025-01-07T17:00:00+00:00,NH-29,Dimapur-Kohima Corridor,0.0,0.0,0.0,16.0,7.4,11.8,11.5,0,4.9,37.0,1392.2,36.4,Steep Ghat,national_highway,0.944,0,1,17,2,0
2025-01-07T17:00:00+00:00,SH-12,Mawkyrwat-Nongstoin Link,0.0,0.0,0.0,20.5,11.8,18.1,14.8,0,6.6,34.8,883.4,27.0,Foothill,state_highway,0.637,0,1,17,0,0
2025-01-07T18:00:00+00:00,SH-4,Haflong Hill Cut Route,0.0,0.0,0.0,17.4,8.7,12.4,9.8,0,7.2,34.1,918.4,33.0,Steep Ghat,state_highway,0.76,0,1,18,4,0
2025-01-07T18:00:00+00:00,NH-27,Guwahati-Nagaon-Lumding,0.0,0.0,0.0,6.2,5.7,8.1,10.4,0,7.2,23.7,83.7,1.0,Plain,national_highway,0.361,0,1,18,1,0
2025-01-07T19:00:00+00:00,RD-NER-02,Aizawl-Lunglei Ridge Pass,0.0,0.0,0.0,7.0,5.3,8.0,11.8,0,5.0,14.1,1150.2,32.5,Steep Ghat,arterial,0.68,0,1,19,0,0
2025-01-07T21:00:00+00:00,NH-6,Shillong-Jowai-Silchar,0.0,0.0,0.0,10.6,15.7,25.7,10.9,0,3.1,25.4,1413.8,32.6,Steep Ghat,national_highway,0.815,0,1,21,2,0
2025-01-07T22:00:00+00:00,SH-12,Mawkyrwat-Nongstoin Link,0.0,0.0,0.0,13.1,12.7,22.7,13.8,0,3.0,18.4,1021.5,17.3,Foothill,state_highway,0.542,0,1,22,0,0
2025-01-08T04:00:00+00:00,NH-10,Siliguri-Gangtok Highway,0.0,0.0,0.0,15.9,11.5,18.4,14.6,0,1.9,30.4,1638.9,41.5,High Mountain Ridge,national_highway,0.919,0,1,4,0,0
2025-01-08T06:00:00+00:00,NH-10,Siliguri-Gangtok Highway,4.0,23.0,9.1,74.0,4.4,6.7,13.9,0,0.5,9.4,1712.8,43.7,High Mountain Ridge,national_highway,0.815,0,1,6,0,0
2025-01-08T10:00:00+00:00,NH-10,Siliguri-Gangtok Highway,0.0,0.0,0.0,7.6,12.2,16.3,13.0,0,2.2,6.7,1653.6,37.2,High Mountain Ridge,national_highway,0.754,0,1,10,0,0
2025-01-08T11:00:00+00:00,SH-12,Mawkyrwat-Nongstoin Link,0.0,0.0,0.0,10.6,7.6,12.3,13.0,0,14.6,56.3,981.2,20.8,Foothill,state_highway,0.63,0,1,11,0,0
2025-01-08T18:00:00+00:00,RD-NER-01,Tawang Border Access,0.0,13.1,7.4,70.2,15.3,25.4,10.5,0,0.6,20.7,2769.7,41.1,High Mountain Ridge,arterial,0.662,0,1,18,1,0
2025-01-08T19:00:00+00:00,SH-4,Haflong Hill Cut Route,0.0,0.0,0.0,17.0,17.9,26.5,8.3,0,1.7,31.4,837.3,27.7,Steep Ghat,state_highway,0.785,0,1,19,4,0
2025-01-08T21:00:00+00:00,NH-37,Kaziranga Flood Bypass,1.1,16.1,9.5,72.5,2.0,5.0,12.8,0,1.0,16.7,119.2,1.5,Plain,national_highway,0.512,0,1,21,0,0
2025-01-08T22:00:00+00:00,SH-12,Mawkyrwat-Nongstoin Link,0.0,0.0,0.0,13.1,13.4,19.7,10.1,0,3.1,29.1,851.8,19.7,Foothill,state_highway,0.598,0,1,22,0,0
2025-01-08T23:00:00+00:00,RD-NER-01,Tawang Border Access,0.0,0.0,0.0,17.0,12.2,19.3,11.3,0,12.4,53.2,2835.0,42.4,High Mountain Ridge,arterial,0.662,0,1,23,0,0
2025-01-08T23:00:00+00:00,NH-37,Kaziranga Flood Bypass,1.2,14.4,9.2,68.1,6.1,8.3,11.7,0,0.3,19.0,84.0,1.0,Plain,national_highway,0.598,0,1,23,0,0
2025-01-09T00:00:00+00:00,NH-2,Guwahati-Shillong-Imphal,0.0,0.0,0.0,13.9,12.2,18.6,10.3,0,3.9,29.8,1533.1,33.5,Steep Ghat,national_highway,0.746,0,1,0,0,0
2025-01-09T01:00:00+00:00,NH-29,Dimapur-Kohima Corridor,2.4,21.9,12.3,78.4,22.9,33.4,8.3,0,27.0,65.4,1450.3,33.9,Steep Ghat,national_highway,1.0,0,1,1,2,1
2025-01-09T03:00:00+00:00,SH-4,Haflong Hill Cut Route,0.0,0.0,0.0,8.9,16.3,26.7,14.4,0,3.0,35.3,858.8,32.3,Steep Ghat,state_highway,0.753,0,1,3,1,0
2025-01-09T05:00:00+00:00,SH-12,Mawkyrwat-Nongstoin Link,0.0,0.0,0.0,8.7,13.5,20.8,11.1,0,3.0,8.1,886.4,19.9,Foothill,state_highway,0.581,0,1,5,1,0
2025-01-09T06:00:00+00:00,NH-27,Guwahati-Nagaon-Lumding,0.0,0.0,0.0,21.5,12.6,18.0,13.6,0,19.0,76.4,46.0,6.1,Plain,national_highway,0.351,0,1,6,1,0
2025-01-09T09:00:00+00:00,RD-NER-02,Aizawl-Lunglei Ridge Pass,0.0,0.0,0.0,14.6,16.2,24.6,15.0,0,8.7,46.4,1138.7,30.0,Steep Ghat,arterial,0.654,0,1,9,0,0
2025-01-09T10:00:00+00:00,NH-27,Guwahati-Nagaon-Lumding,0.0,0.0,0.0,6.9,6.4,8.7,13.3,0,4.6,14.6,149.6,7.1,Plain,national_highway,0.4,0,1,10,0,0
2025-01-09T11:00:00+00:00,NH-27,Guwahati-Nagaon-Lumding,4.0,30.2,10.3,86.8,18.5,24.3,10.7,0,3.2,19.2,115.0,1.0,Plain,national_highway,0.234,0,1,11,0,0
